Date,Open,High,Low,Close,Adj Close,Volume
2006-01-02,44.969002,45.090000,44.958000,44.980000,44.980000,0
2006-01-03,44.960999,45.049999,44.837002,44.860001,44.860001,0
2006-01-04,44.847000,44.880001,44.639999,44.680000,44.680000,0
2006-01-05,44.710999,44.720001,44.535000,44.669998,44.669998,0
2006-01-06,44.662998,44.696999,44.255001,44.290001,44.290001,0
2006-01-09,44.485001,44.500000,44.145000,44.259998,44.259998,0
2006-01-10,44.220001,44.424999,44.099998,44.180000,44.180000,0
2006-01-11,44.168999,44.181000,43.889999,43.919998,43.919998,0
2006-01-12,43.908001,44.185001,43.898998,43.939999,43.939999,0
2006-01-13,43.933998,44.270000,43.922001,44.070000,44.070000,0
2006-01-16,44.188999,44.209999,44.000000,44.119999,44.119999,0
2006-01-17,44.106998,44.321999,44.060001,44.200001,44.200001,0
2006-01-18,44.200001,44.485001,44.169998,44.290001,44.290001,0
2006-01-19,44.370998,44.380001,44.136002,44.160000,44.160000,0
2006-01-20,44.153000,44.352001,44.099998,44.150002,44.150002,0
2006-01-23,44.270000,44.280998,44.000000,44.070000,44.070000,0
2006-01-24,44.088001,44.240002,44.049999,44.169998,44.169998,0
2006-01-25,44.124001,44.345001,43.998001,44.020000,44.020000,0
2006-01-26,44.015999,44.040001,43.922001,43.990002,43.990002,0
2006-01-27,43.990002,44.224998,43.919998,43.935001,43.935001,0
2006-01-30,43.926998,44.189999,43.912998,44.020000,44.020000,0
2006-01-31,44.007999,44.119999,43.858002,43.900002,43.900002,0
2006-02-01,43.889000,44.200001,43.883999,44.080002,44.080002,0
2006-02-02,44.071999,44.314999,44.040001,44.160000,44.160000,0
2006-02-03,44.119999,44.227001,44.060001,44.080002,44.080002,0
2006-02-06,44.140999,44.224998,44.040001,44.139999,44.139999,0
2006-02-07,44.129002,44.285000,44.070000,44.200001,44.200001,0
2006-02-08,44.188999,44.259998,44.060001,44.119999,44.119999,0
2006-02-09,44.111000,44.180000,44.044998,44.090000,44.090000,0
2006-02-10,44.089001,44.216999,44.019001,44.029999,44.029999,0
2006-02-13,44.030998,44.279999,44.021999,44.150002,44.150002,0
2006-02-14,44.192001,44.230000,44.070000,44.150002,44.150002,0
2006-02-15,44.150002,44.264999,44.060001,44.160000,44.160000,0
2006-02-16,44.073002,44.340000,44.062000,44.240002,44.240002,0
2006-02-17,44.237000,44.450001,44.169998,44.312000,44.312000,0
2006-02-20,44.305000,44.446999,44.209999,44.360001,44.360001,0
2006-02-21,44.348000,44.411999,44.200001,44.320000,44.320000,0
2006-02-22,44.312000,44.568001,44.220001,44.480000,44.480000,0
2006-02-23,44.476002,44.599998,44.325001,44.459999,44.459999,0
2006-02-24,44.449001,44.459999,44.220001,44.290001,44.290001,0
2006-02-27,44.290001,44.459999,44.220001,44.410000,44.410000,0
2006-02-28,44.354000,44.525002,44.198002,44.250000,44.250000,0
2006-03-01,44.220001,44.341999,44.180000,44.279999,44.279999,0
2006-03-02,44.299999,44.345001,44.119999,44.180000,44.180000,0
2006-03-03,44.250999,44.340000,44.035000,44.180000,44.180000,0
2006-03-06,44.180000,44.342999,44.119999,44.250000,44.250000,0
2006-03-07,44.231998,44.342999,44.130001,44.200001,44.200001,0
2006-03-08,44.189999,44.415001,44.181999,44.380001,44.380001,0
2006-03-09,44.366001,44.555000,44.235001,44.459999,44.459999,0
2006-03-10,44.450001,44.509998,44.244999,44.452999,44.452999,0
2006-03-13,44.445999,44.520000,44.314999,44.389999,44.389999,0
2006-03-14,44.423000,44.480000,44.305000,44.340000,44.340000,0
2006-03-15,44.391998,44.415001,44.098999,44.099998,44.099998,0
2006-03-16,44.099998,44.422001,44.099998,44.349998,44.349998,0
2006-03-17,44.344002,44.424999,44.200001,44.205002,44.205002,0
2006-03-20,44.250000,44.435001,44.195000,44.360001,44.360001,0
2006-03-21,44.348999,44.380001,44.200001,44.299999,44.299999,0
2006-03-22,44.289001,44.430000,44.284000,44.400002,44.400002,0
2006-03-23,44.395000,44.560001,44.320000,44.472000,44.472000,0
2006-03-24,44.471001,44.630001,44.457001,44.466999,44.466999,0
2006-03-27,44.465000,44.602001,44.462002,44.589001,44.589001,0
2006-03-28,44.588001,44.619999,44.435001,44.591999,44.591999,0
2006-03-29,44.589001,44.634998,44.525002,44.580002,44.580002,0
2006-03-30,44.563999,44.619999,44.415001,44.459999,44.459999,0
2006-03-31,44.450001,44.564999,44.441002,44.528000,44.528000,0
2006-04-03,44.528999,44.563000,44.375000,44.530998,44.530998,0
2006-04-04,44.334999,44.634998,44.334999,44.599998,44.599998,0
2006-04-05,44.590000,44.645000,44.365002,44.560001,44.560001,0
2006-04-06,44.541000,44.609001,44.395000,44.439999,44.439999,0
2006-04-07,44.428001,44.645000,44.415001,44.549000,44.549000,0
2006-04-10,44.404999,44.818001,44.404999,44.660000,44.660000,0
2006-04-11,44.643002,44.744999,44.595001,44.740002,44.740002,0
2006-04-12,44.735001,45.195000,44.723000,45.060001,45.060001,0
2006-04-13,45.051998,45.235001,45.021000,45.040001,45.040001,0
2006-04-14,45.030998,45.035000,44.981998,44.994999,44.994999,0
2006-04-17,44.992001,45.037998,44.977001,45.028000,45.028000,0
2006-04-18,45.032001,45.200001,45.020000,45.047001,45.047001,0
2006-04-19,45.014999,45.126999,44.945000,45.099998,45.099998,0
2006-04-20,45.091000,45.106998,44.994999,45.099998,45.099998,0
2006-04-21,45.088001,45.098999,44.973999,45.000999,45.000999,0
2006-04-24,44.994999,45.036999,44.814999,44.827000,44.827000,0
2006-04-25,44.831001,45.032001,44.706001,44.820000,44.820000,0
2006-04-26,44.814999,45.070000,44.801998,45.020000,45.020000,0
2006-04-27,45.015999,45.015999,44.779999,44.799999,44.799999,0
2006-04-28,44.785999,44.953999,44.783001,44.901001,44.901001,0
2006-05-01,44.805000,44.805000,44.735001,44.759998,44.759998,0
2006-05-02,44.748001,44.854000,44.743999,44.799999,44.799999,0
2006-05-03,44.786999,44.827999,44.764999,44.799999,44.799999,0
2006-05-04,44.789001,44.919998,44.744999,44.889999,44.889999,0
2006-05-05,44.887001,44.896000,44.762001,44.770000,44.770000,0
2006-05-08,44.785000,44.818001,44.741001,44.759998,44.759998,0
2006-05-09,44.756001,44.886002,44.745998,44.771000,44.771000,0
2006-05-10,44.769001,44.875000,44.762001,44.811001,44.811001,0
2006-05-11,44.980000,45.035000,44.801998,44.820000,44.820000,0
2006-05-12,44.812000,45.001999,44.801998,44.825001,44.825001,0
2006-05-15,45.099998,45.470001,45.099998,45.248001,45.248001,0
2006-05-16,45.259998,45.555000,44.994999,44.994999,44.994999,0
2006-05-17,45.520000,45.520000,44.625000,44.625000,44.625000,0
2006-05-18,45.415001,45.424999,45.255001,45.400002,45.400002,0
2006-05-19,45.389000,45.525002,45.294998,45.294998,45.294998,0
2006-05-22,45.354000,45.674999,45.279999,45.290001,45.290001,0
2006-05-23,45.291000,45.474998,45.284000,45.380001,45.380001,0
2006-05-24,45.360001,45.685001,45.353001,45.680000,45.680000,0
2006-05-25,45.671001,45.785000,45.664001,45.769001,45.769001,0
2006-05-26,45.764999,45.817001,45.755001,45.755001,45.755001,0
2006-05-29,45.896999,46.027000,45.876999,45.990002,45.990002,0
2006-05-30,46.000000,46.165001,45.979000,46.080002,46.080002,0
2006-05-31,46.063999,46.414001,46.062000,46.160000,46.160000,0
2006-06-01,46.148998,46.285000,46.098999,46.119999,46.119999,0
2006-06-02,46.106998,46.118999,45.580002,45.594002,45.594002,0
2006-06-05,45.583000,45.757999,45.583000,45.680000,45.680000,0
2006-06-06,45.665001,45.875000,45.660999,45.849998,45.849998,0
2006-06-07,45.838001,45.910000,45.719002,45.730000,45.730000,0
2006-06-08,45.972000,46.014999,45.737999,45.759998,45.759998,0
2006-06-09,45.750000,45.903999,45.742001,45.860001,45.860001,0
2006-06-12,45.805000,45.839001,45.744999,45.820000,45.820000,0
2006-06-13,45.807999,45.985001,45.803001,45.939999,45.939999,0
2006-06-14,45.931999,45.939999,45.755001,45.820000,45.820000,0
2006-06-15,45.804001,45.893002,45.764999,45.810001,45.810001,0
2006-06-16,45.860001,45.863998,45.785000,45.848999,45.848999,0
2006-06-19,45.848000,45.851002,45.755001,45.820000,45.820000,0
2006-06-20,45.808998,45.880001,45.801998,45.860001,45.860001,0
2006-06-21,45.847000,45.889999,45.819000,45.840000,45.840000,0
2006-06-22,45.832001,46.035000,45.824001,45.919998,45.919998,0
2006-06-23,45.910000,46.134998,45.903999,45.945000,45.945000,0
2006-06-26,45.933998,46.314999,45.924999,46.254002,46.254002,0
2006-06-27,46.259998,46.303001,46.180000,46.259998,46.259998,0
2006-06-28,46.248001,46.356998,46.224998,46.299999,46.299999,0
2006-06-29,46.289001,46.294998,46.174999,46.259998,46.259998,0
2006-06-30,46.256001,46.257000,45.805000,45.805000,45.805000,0
2006-07-03,45.872002,46.005001,45.855000,45.939999,45.939999,0
2006-07-04,45.933998,45.959999,45.855000,45.900002,45.900002,0
2006-07-05,45.890999,46.000000,45.847000,45.950001,45.950001,0
2006-07-06,45.942001,46.090000,45.924000,45.939999,45.939999,0
2006-07-07,45.931999,46.055000,45.785000,45.785000,45.785000,0
2006-07-10,45.851002,46.075001,45.841999,46.000000,46.000000,0
2006-07-11,45.988998,46.139999,45.985001,46.139999,46.139999,0
2006-07-12,46.129002,46.165001,46.002998,46.020000,46.020000,0
2006-07-13,46.009998,46.259998,46.001999,46.220001,46.220001,0
2006-07-14,46.209999,46.390999,46.202999,46.327000,46.327000,0
2006-07-17,46.328999,46.685001,46.324001,46.580002,46.580002,0
2006-07-18,46.567001,46.688000,46.541000,46.560001,46.560001,0
2006-07-19,46.550999,46.924999,46.542999,46.799999,46.799999,0
2006-07-20,46.786999,46.798000,46.674999,46.759998,46.759998,0
2006-07-21,46.685001,46.765999,46.563000,46.584999,46.584999,0
2006-07-24,46.569000,46.904999,46.562000,46.848000,46.848000,0
2006-07-25,46.851002,46.866001,46.694000,46.720001,46.720001,0
2006-07-26,46.709999,46.785000,46.660999,46.680000,46.680000,0
2006-07-27,46.668999,46.679001,46.455002,46.540001,46.540001,0
2006-07-28,46.530998,46.618999,46.465000,46.465000,46.465000,0
2006-07-31,46.590000,46.596001,46.398998,46.419998,46.419998,0
2006-08-01,46.407001,46.591000,46.398998,46.439999,46.439999,0
2006-08-02,46.428001,46.615002,46.424999,46.500000,46.500000,0
2006-08-03,46.512001,46.679001,46.415001,46.428001,46.428001,0
2006-08-04,46.430000,46.564999,46.417999,46.431999,46.431999,0
2006-08-07,46.431000,46.518002,46.384998,46.500000,46.500000,0
2006-08-08,46.491001,46.521999,46.355000,46.400002,46.400002,0
2006-08-09,46.395000,46.470001,46.334999,46.400002,46.400002,0
2006-08-10,46.393002,46.397999,46.255001,46.312000,46.312000,0
2006-08-11,46.320000,46.474998,46.303001,46.424999,46.424999,0
2006-08-14,46.424999,46.544998,46.424999,46.487999,46.487999,0
2006-08-15,46.500000,46.500000,46.314999,46.439999,46.439999,0
2006-08-16,46.422001,46.520000,46.410000,46.467999,46.467999,0
2006-08-17,46.480000,46.480000,46.279999,46.292999,46.292999,0
2006-08-18,46.299999,46.419998,46.285000,46.391998,46.391998,0
2006-08-21,46.389000,46.398998,46.340000,46.389000,46.389000,0
2006-08-22,46.400002,46.465000,46.368000,46.389000,46.389000,0
2006-08-23,46.400002,46.506001,46.375999,46.391998,46.391998,0
2006-08-24,46.400002,46.474998,46.355000,46.448002,46.448002,0
2006-08-25,46.459999,46.529999,46.415001,46.448002,46.448002,0
2006-08-28,46.459999,46.498001,46.404999,46.490002,46.490002,0
2006-08-29,46.500000,46.500000,46.377998,46.394001,46.394001,0
2006-08-30,46.400002,46.443001,46.283001,46.287998,46.287998,0
2006-08-31,46.299999,46.491001,46.284000,46.476002,46.476002,0
2006-09-01,46.480000,46.487000,46.415001,46.507999,46.507999,0
2006-09-04,46.314999,46.384998,46.237000,46.251999,46.251999,0
2006-09-05,46.259998,46.259998,46.084999,46.153000,46.153000,0
2006-09-06,46.160000,46.161999,46.005001,46.049000,46.049000,0
2006-09-07,46.060001,46.134998,45.985001,46.051998,46.051998,0
2006-09-08,46.060001,46.165001,46.041000,46.152000,46.152000,0
2006-09-11,46.160000,46.230000,45.994999,46.153000,46.153000,0
2006-09-12,46.160000,46.278999,46.125000,46.183998,46.183998,0
2006-09-13,46.200001,46.200001,46.004002,46.004002,46.004002,0
2006-09-14,46.014999,46.095001,45.903999,45.914001,45.914001,0
2006-09-15,45.919998,46.083000,45.903999,46.049000,46.049000,0
2006-09-18,46.047001,46.064999,46.020000,46.048000,46.048000,0
2006-09-19,46.060001,46.060001,45.945000,46.029999,46.029999,0
2006-09-20,46.030998,46.043999,45.889999,46.030998,46.030998,0
2006-09-21,46.040001,46.040001,45.755001,45.789001,45.789001,0
2006-09-22,45.799999,45.915001,45.709999,45.820999,45.820999,0
2006-09-25,45.740002,45.875000,45.723999,45.792999,45.792999,0
2006-09-26,45.799999,45.902000,45.764999,45.890999,45.890999,0
2006-09-27,45.900002,45.900002,45.705002,45.831001,45.831001,0
2006-09-28,45.840000,45.865002,45.794998,45.827999,45.827999,0
2006-09-29,45.840000,45.900002,45.694000,45.715000,45.715000,0
2006-10-02,45.779999,45.782001,45.701000,45.714001,45.714001,0
2006-10-03,45.720001,45.722000,45.702999,45.716000,45.716000,0
2006-10-04,45.720001,45.720001,45.575001,45.632000,45.632000,0
2006-10-05,45.639999,45.645000,45.514999,45.594002,45.594002,0
2006-10-06,45.599998,45.599998,45.435001,45.487999,45.487999,0
2006-10-09,45.508999,45.665001,45.507000,45.629002,45.629002,0
2006-10-10,45.639999,45.733002,45.605000,45.669998,45.669998,0
2006-10-11,45.680000,45.702000,45.485001,45.551998,45.551998,0
2006-10-12,45.560001,45.560001,45.465000,45.514000,45.514000,0
2006-10-13,45.520000,45.521000,45.244999,45.244999,45.244999,0
2006-10-16,45.297001,45.396999,45.285999,45.354000,45.354000,0
2006-10-17,45.360001,45.360001,45.124001,45.132999,45.132999,0
2006-10-18,45.139999,45.290001,45.125999,45.210999,45.210999,0
2006-10-19,45.220001,45.294998,45.165001,45.206001,45.206001,0
2006-10-20,45.220001,45.290001,45.185001,45.234001,45.234001,0
2006-10-23,45.229000,45.355000,45.226002,45.328999,45.328999,0
2006-10-24,45.340000,45.340000,45.125000,45.153000,45.153000,0
2006-10-25,45.160000,45.305000,45.145000,45.290001,45.290001,0
2006-10-26,45.299999,45.301998,45.125000,45.169998,45.169998,0
2006-10-27,45.180000,45.180000,44.986000,45.005001,45.005001,0
2006-10-30,45.000000,45.019001,44.825001,44.828999,44.828999,0
2006-10-31,44.840000,44.974998,44.824001,44.834999,44.834999,0
2006-11-01,44.840000,44.880001,44.701000,44.712002,44.712002,0
2006-11-02,44.720001,44.880001,44.707001,44.819000,44.819000,0
2006-11-03,44.820000,44.827999,44.742001,44.800999,44.800999,0
2006-11-06,44.813999,44.832001,44.744999,44.811001,44.811001,0
2006-11-07,44.820000,44.820999,44.660000,44.756001,44.756001,0
2006-11-08,44.759998,44.759998,44.544998,44.613998,44.613998,0
2006-11-09,44.619999,44.619999,44.395000,44.453999,44.453999,0
2006-11-10,44.395000,44.638000,44.395000,44.611000,44.611000,0
2006-11-13,44.612000,44.875000,44.605000,44.801998,44.801998,0
2006-11-14,44.820000,45.134998,44.805000,45.090000,45.090000,0
2006-11-15,45.099998,45.279999,45.088001,45.193001,45.193001,0
2006-11-16,45.200001,45.200001,44.755001,44.770000,44.770000,0
2006-11-17,44.779999,44.900002,44.755001,44.772999,44.772999,0
2006-11-20,44.779999,45.005001,44.768002,44.935001,44.935001,0
2006-11-21,44.939999,45.035000,44.705002,44.897999,44.897999,0
2006-11-22,44.900002,44.900002,44.555000,44.574001,44.574001,0
2006-11-23,44.900002,44.900002,44.615002,44.632000,44.632000,0
2006-11-24,44.639999,44.814999,44.529999,44.529999,44.529999,0
2006-11-27,44.529999,44.613998,44.500000,44.591000,44.591000,0
2006-11-28,44.599998,44.709999,44.514999,44.598999,44.598999,0
2006-11-29,44.599998,44.709999,44.474998,44.613998,44.613998,0
2006-11-30,44.474998,44.759998,44.474998,44.550999,44.550999,0
2006-12-01,44.560001,44.700001,44.435001,44.435001,44.435001,0
2006-12-04,44.560001,44.634998,44.424999,44.536999,44.536999,0
2006-12-05,44.540001,44.567501,44.355000,44.493999,44.493999,0
2006-12-06,44.500000,44.732498,44.355000,44.615002,44.615002,0
2006-12-07,44.619999,44.740002,44.455002,44.574001,44.574001,0
2006-12-08,44.580002,44.724998,44.465000,44.465000,44.465000,0
2006-12-11,44.560001,44.825001,44.544998,44.693001,44.693001,0
2006-12-12,44.700001,44.919998,44.634998,44.773998,44.773998,0
2006-12-13,44.634998,44.875000,44.615002,44.734001,44.734001,0
2006-12-14,44.740002,44.814999,44.494999,44.672001,44.672001,0
2006-12-15,44.680000,44.720001,44.466999,44.474998,44.474998,0
2006-12-18,44.493999,44.785000,44.487999,44.716000,44.716000,0
2006-12-19,44.720001,44.869999,44.591000,44.691002,44.691002,0
2006-12-20,44.700001,44.740002,44.535000,44.673000,44.673000,0
2006-12-21,44.680000,44.740002,44.445000,44.530998,44.530998,0
2006-12-22,44.540001,44.619999,44.305000,44.305000,44.305000,0
2006-12-25,44.305000,44.305000,44.305000,44.305000,44.305000,0
2006-12-26,44.590000,44.590000,44.465000,44.305000,44.305000,0
2006-12-27,44.530998,44.535999,44.134998,44.259998,44.259998,0
2006-12-28,44.250000,44.360001,44.075001,44.277000,44.277000,0
2006-12-29,44.279999,44.325001,44.040001,44.040001,44.040001,0
2007-01-01,44.220001,44.223999,44.040001,44.215000,44.215000,0
2007-01-02,44.212002,44.220001,44.075001,44.122002,44.122002,0
2007-01-03,44.119999,44.410000,44.085999,44.111000,44.111000,0
2007-01-04,44.119999,44.480000,44.095001,44.095001,44.095001,0
2007-01-05,44.095001,44.330002,44.095001,44.139999,44.139999,0
2007-01-08,44.365002,44.500000,44.255001,44.255001,44.255001,0
2007-01-09,44.255001,44.485001,44.209999,44.209999,44.209999,0
2007-01-10,44.320000,44.549999,44.320000,44.375000,44.375000,0
2007-01-11,44.419998,44.592499,44.419998,44.424999,44.424999,0
2007-01-12,44.419998,44.619999,44.230000,44.255001,44.255001,0
2007-01-15,44.349998,44.384998,44.134998,44.134998,44.134998,0
2007-01-16,44.134998,44.340000,44.125000,44.125000,44.125000,0
2007-01-17,44.125000,44.285000,44.025002,44.025002,44.025002,0
2007-01-18,44.200001,44.337502,44.084999,44.084999,44.084999,0
2007-01-19,44.084999,44.347500,44.084999,44.084999,44.084999,0
2007-01-22,44.084999,44.294998,44.044998,44.044998,44.044998,0
2007-01-23,44.044998,44.252499,44.044998,44.075001,44.075001,0
2007-01-24,44.075001,44.279999,44.075001,44.084999,44.084999,0
2007-01-25,44.084999,44.255001,44.084999,44.084999,44.084999,0
2007-01-26,44.180000,44.200001,44.014999,44.014999,44.014999,0
2007-01-29,44.014999,44.327499,44.014999,44.070000,44.070000,0
2007-01-30,44.070000,44.139999,43.965000,43.974998,43.974998,0
2007-01-31,43.980000,44.185001,43.974998,44.005001,44.005001,0
2007-02-01,44.000000,44.132500,43.945000,43.945000,43.945000,0
2007-02-02,43.945000,44.145000,43.919998,43.935001,43.935001,0
2007-02-05,43.935001,44.139999,43.935001,43.965000,43.965000,0
2007-02-06,43.965000,44.130001,43.965000,44.054001,44.054001,0
2007-02-07,43.965000,44.119999,43.950001,44.014000,44.014000,0
2007-02-08,43.950001,44.134998,43.935001,44.051998,44.051998,0
2007-02-09,44.060001,44.119999,43.117001,43.865002,43.865002,0
2007-02-12,43.971001,44.187500,43.939999,44.074001,44.074001,0
2007-02-13,44.074001,44.205002,43.945999,43.960999,43.960999,0
2007-02-14,43.952000,44.197498,43.863998,43.874001,43.874001,0
2007-02-15,43.876999,44.102501,43.845001,44.014999,44.014999,0
2007-02-16,43.845001,44.021000,43.805000,43.805000,43.805000,0
2007-02-19,43.993000,44.127499,43.915001,43.992001,43.992001,0
2007-02-20,43.915001,44.189999,43.915001,44.117001,44.117001,0
2007-02-21,44.119999,44.207500,43.985001,44.077999,44.077999,0
2007-02-22,43.935001,44.279999,43.935001,44.171001,44.171001,0
2007-02-23,43.985001,44.282501,43.985001,44.014999,44.014999,0
2007-02-26,44.189999,44.200001,43.974998,44.098000,44.098000,0
2007-02-27,44.099998,44.227501,43.994999,44.113998,44.113998,0
2007-02-28,44.119999,44.345001,43.959000,44.015999,44.015999,0
2007-03-01,44.020000,44.290001,44.007000,44.195999,44.195999,0
2007-03-02,44.009998,44.314999,44.009998,44.035000,44.035000,0
2007-03-05,44.498001,44.650002,44.217999,44.514000,44.514000,0
2007-03-06,44.520000,44.570000,44.091000,44.112000,44.112000,0
2007-03-07,44.115002,44.560001,44.115002,44.435001,44.435001,0
2007-03-08,44.439999,44.547501,44.096001,44.112999,44.112999,0
2007-03-09,44.125000,44.349998,44.005001,44.009998,44.009998,0
2007-03-12,43.855000,44.244999,43.855000,44.053001,44.053001,0
2007-03-13,44.060001,44.240002,44.002998,44.014999,44.014999,0
2007-03-14,44.014000,44.352501,44.006001,44.231998,44.231998,0
2007-03-15,44.240002,44.240002,44.124001,44.152000,44.152000,0
2007-03-16,44.160000,44.180000,43.889999,43.889999,43.889999,0
2007-03-19,44.033001,44.040001,43.910000,44.020000,44.020000,0
2007-03-20,44.020000,44.020000,43.446999,43.453999,43.453999,0
2007-03-21,43.459999,43.575001,43.215000,43.442001,43.442001,0
2007-03-22,43.450001,43.685001,43.424000,43.433998,43.433998,0
2007-03-23,43.455002,43.705002,43.284000,43.305000,43.305000,0
2007-03-26,43.292000,43.480000,43.143002,43.154999,43.154999,0
2007-03-27,43.152000,43.220001,42.980000,43.053001,43.053001,0
2007-03-28,43.054001,43.185001,42.750000,43.090000,43.090000,0
2007-03-29,43.089001,43.735001,42.709999,43.575001,43.575001,0
2007-03-30,43.580002,43.582500,43.044998,43.044998,43.044998,0
2007-04-02,43.200001,43.215000,42.980000,43.174000,43.174000,0
2007-04-03,43.180000,43.235001,42.750000,43.012001,43.012001,0
2007-04-04,43.020000,43.060001,42.770000,42.807999,42.807999,0
2007-04-05,42.820000,43.180000,42.686001,42.695999,42.695999,0
